weight,height,color,no_of_wheels,vehicle_type
1679,119,green,4,bike
1160,117,green,2,bike
1554,189,red,2,car
2305,169,blue,2,car
1108,186,green,2,bike
1323,125,red,4,bike
2402,188,blue,4,bike
1494,155,red,4,car
1705,154,green,2,bike
2733,145,green,2,car
2731,125,green,4,car
2508,167,red,4,car
2987,190,red,2,bike
1677,152,blue,4,car
1690,188,green,4,car
1421,148,blue,2,bike
2628,154,red,2,bike
1896,187,green,2,car
2216,157,red,4,bike
1106,116,green,4,car
2526,194,blue,4,car
3000,116,blue,4,bike
2420,112,green,4,car
1274,128,green,2,car
2382,195,red,2,car
1043,116,blue,2,bike
1227,147,red,4,bike
1354,173,blue,4,bike
2008,142,red,4,car
1180,151,red,4,bike
1067,176,green,2,bike
1693,173,red,2,car
1028,117,green,2,bike
2690,177,green,2,car
2030,199,red,4,bike
1481,186,blue,2,car
2461,155,blue,4,car
2911,156,blue,4,car
1479,121,blue,2,car
2654,170,red,4,bike
1806,175,blue,4,bike
2739,176,blue,2,car
1487,185,blue,2,car
2753,171,red,4,car
2569,196,red,4,bike
1360,189,blue,2,car
1458,113,green,4,bike
1739,116,green,2,bike
2271,139,green,2,car
2261,120,blue,4,car
1714,141,green,4,bike
1969,139,green,4,bike
2172,122,green,4,car
1209,135,green,4,car
2147,101,green,2,bike
2611,144,blue,4,bike
1003,195,red,4,bike
1331,190,blue,4,car
2900,161,green,2,bike
1945,143,blue,2,car
2670,186,blue,2,car
1433,157,green,2,bike
2923,142,blue,2,bike
2731,182,green,4,car
1797,129,green,2,car
1631,156,green,4,bike
1249,196,red,2,car
1697,179,blue,4,bike
1299,198,red,2,bike
2313,103,green,2,bike
1021,176,green,2,bike
1244,180,green,2,bike
1901,157,red,4,bike
1778,168,blue,4,bike
2422,158,green,4,car
1432,109,red,2,bike
1077,131,blue,2,bike
2396,136,blue,4,car
1949,197,red,2,bike
2948,180,red,4,bike
2154,111,red,4,bike
2865,139,blue,2,car
1179,112,red,4,car
2466,122,blue,2,bike
1574,163,blue,4,bike
2222,153,green,4,car
1477,170,green,2,bike
1548,196,green,4,car
2216,123,green,4,car
2521,106,green,4,bike
2202,199,green,4,bike
2666,144,blue,2,bike
2337,115,red,2,bike
2575,190,red,4,car
1512,113,green,2,bike
1456,111,green,2,car
1956,161,green,2,car
1926,163,blue,2,bike
1412,109,red,2,car
2000,114,red,2,bike
2640,159,red,4,car
1858,200,red,2,car
1175,126,red,4,bike
2886,168,red,4,car
2085,186,blue,4,bike
1630,200,blue,2,bike
2449,112,blue,2,bike
2536,109,blue,4,bike
2854,113,blue,4,car
1701,179,blue,4,bike
2014,171,green,2,car
2712,188,red,2,car
2213,115,red,2,bike
2146,198,red,2,bike
1935,169,green,4,car
1778,129,red,2,bike
1071,147,red,2,bike
2218,107,green,4,car
1611,176,green,4,bike
2758,147,red,4,bike
2418,198,green,4,car
1472,126,red,4,car
2432,107,green,2,car
2690,188,green,2,bike
2093,166,red,2,car
2339,123,green,4,bike
2214,191,blue,2,bike
1238,168,blue,4,car
2106,158,red,2,bike
1541,141,red,4,bike
1250,185,green,4,car
1425,126,blue,4,bike
1988,118,green,4,car
1707,186,blue,2,bike
1243,166,red,2,car
1224,161,blue,2,bike
2445,122,red,2,car
2000,118,red,4,car
2795,122,blue,2,car
2486,145,green,4,bike
1051,139,blue,4,bike
1511,188,red,2,car
2566,181,red,2,car
1151,148,red,2,car
1485,144,blue,2,car
1676,176,red,4,bike
1929,149,green,4,car
1718,121,blue,4,bike
1562,170,blue,2,bike
1961,148,green,4,bike
1579,188,red,4,bike
1907,126,blue,4,bike
2754,143,green,2,bike
2664,122,red,2,car
1437,117,red,2,car
2501,187,green,2,car
1832,168,red,2,bike
2718,101,blue,4,bike
2628,111,green,4,bike
2180,112,green,2,car
1011,178,green,4,bike
2210,132,green,2,bike
1742,171,red,2,car
2057,106,green,2,car
1715,178,red,4,car
2541,100,green,4,bike
2346,154,red,4,bike
2067,169,blue,4,bike
2893,156,blue,4,car
2776,145,red,2,car
2599,144,red,2,car
1944,115,red,4,bike
1737,175,blue,4,car
1118,145,blue,2,bike
1995,199,red,2,car
2190,167,blue,2,car
1697,122,blue,4,car
2968,126,blue,2,bike
1650,106,green,4,bike
2085,173,blue,4,bike
1125,104,red,2,bike
1916,116,blue,4,bike
2841,169,green,4,bike
2579,139,red,4,car
2296,193,green,4,bike
2080,114,blue,2,car
2200,175,blue,4,car
1416,173,red,4,car
2129,101,green,4,bike
2808,164,blue,4,bike
2434,116,green,2,bike
2049,176,red,2,bike
2055,145,red,2,bike
2179,100,red,2,car
2611,116,red,2,bike
1151,131,green,4,bike
2174,102,green,4,car
2052,113,red,2,bike
1845,156,blue,2,bike
2190,130,green,4,bike
2707,148,blue,2,car
2955,154,red,4,car
1843,142,green,4,car
2536,148,blue,2,bike
1664,101,green,2,car
2857,139,green,4,bike
1328,153,blue,2,car
1863,120,green,2,car
2860,170,red,2,bike
1708,163,blue,2,bike
2516,119,red,2,car
2307,146,green,4,bike
2187,192,red,2,car
1229,114,red,2,bike
2960,124,blue,4,car
2621,195,blue,2,car
1852,180,green,4,car
2006,177,red,4,car
2093,107,blue,4,bike
2161,120,red,2,car
2498,103,blue,2,bike
1098,151,green,2,car
2455,200,red,4,car
1759,173,red,4,car
2655,181,blue,4,car
1633,125,blue,4,car
2350,187,blue,4,car
1899,184,green,2,car
1489,155,blue,4,car
2643,154,blue,4,car
1568,147,green,2,bike
1398,158,green,2,car
1275,136,red,4,car
1610,192,blue,4,car
1074,193,red,2,car
2225,128,green,4,bike
1969,197,green,2,car
1967,149,blue,2,bike
1398,197,blue,4,car
2956,193,green,2,car
1789,114,green,2,bike
1553,109,green,2,car
1846,170,red,4,car
2314,166,green,2,car
2540,141,red,4,car
1274,127,blue,2,bike
2836,117,red,4,bike
1417,100,red,4,car
2521,148,green,4,bike
2382,167,blue,4,bike
1473,171,red,2,car
2947,122,red,4,bike
1898,195,green,2,bike
1667,149,blue,2,bike
1234,116,red,2,car
1072,105,blue,2,bike
1418,170,green,2,bike
2156,174,blue,4,bike
1647,100,blue,2,bike
1046,111,red,2,car
2901,152,green,2,bike
1018,129,blue,4,bike
2645,159,green,2,bike
1295,108,green,4,car
2633,165,green,4,car
2882,159,blue,4,car
2876,167,blue,2,car
1001,188,green,2,car
2493,102,red,2,car
2050,167,red,4,bike
2755,120,blue,4,car
1573,170,red,2,bike
2776,131,blue,2,car
1326,178,green,2,car
1317,200,green,4,bike
2691,167,green,4,bike
2565,183,blue,4,car
2219,166,red,4,car
2021,144,blue,2,car
1351,140,blue,2,car
1173,169,blue,2,car
1080,156,blue,4,car
2795,104,green,4,bike
1930,185,green,2,car
1801,181,red,2,car
2889,149,blue,2,car
1410,160,green,2,bike
1550,126,blue,2,car
1408,170,red,2,bike
1537,188,green,2,car
1571,143,green,2,bike
2922,123,blue,4,bike
1055,143,red,4,car
2863,110,red,2,car
1800,101,green,2,bike
1966,163,green,2,car
1620,113,blue,4,car
2304,159,red,4,bike
1915,172,blue,4,car
1226,120,red,2,bike
2382,128,blue,2,car
2585,139,green,2,bike
1946,171,red,2,car
1719,200,blue,4,car
2862,142,blue,4,bike
1554,177,red,2,bike
1399,103,red,4,car
2219,188,red,2,bike
1616,178,green,4,car
1733,197,green,4,bike
1640,180,red,2,bike
2185,137,blue,4,bike
2083,175,red,2,car
1891,196,red,4,car
1387,129,red,4,car
2526,178,red,4,car
2736,196,green,2,bike
1041,191,blue,2,bike
2354,155,blue,2,bike
1144,190,red,4,bike
1393,141,green,4,car
2874,101,blue,4,bike
2436,198,red,4,car
1468,165,blue,2,car
1275,144,blue,4,bike
2229,199,green,4,bike
1384,185,blue,2,bike
1454,139,red,4,car
2931,190,red,2,car
1603,196,red,2,bike
2818,198,blue,2,bike
2867,196,red,2,bike
1783,115,red,4,bike
2798,165,red,4,bike
2651,140,green,4,bike
2073,107,green,2,bike
1536,181,green,2,bike
2918,168,red,2,car
2562,162,red,2,bike
1144,174,blue,4,bike
1327,187,red,4,car
1473,121,green,4,bike
2872,160,green,2,car
1248,136,red,2,bike
2477,179,green,4,bike
2557,167,red,2,car
2485,169,green,2,car
1753,131,blue,2,bike
2026,147,green,2,car
2663,162,red,2,car
1094,160,red,2,car
2867,139,red,2,bike
1206,178,blue,2,bike
1671,180,red,4,bike
1925,107,green,4,bike
2573,185,red,4,bike
2324,150,green,2,bike
2993,140,red,4,car
1147,175,blue,2,car
2090,196,green,4,bike
1577,200,red,4,bike
2011,123,blue,4,bike
1283,195,red,4,car
1772,140,green,2,bike
1157,112,blue,2,bike
2001,142,red,4,bike
2181,199,blue,2,car
1552,197,red,2,car
2342,100,blue,2,car
2666,163,red,2,bike
1018,194,green,2,bike
1774,101,green,4,car
2858,118,green,2,bike
1126,162,blue,2,car
1475,160,green,4,bike
2774,121,red,4,bike
1448,188,green,4,car
2058,192,blue,4,bike
2154,155,red,4,bike
2169,182,blue,4,bike
2008,109,red,4,car
2513,133,green,4,car
1072,131,blue,2,bike
2618,161,red,4,bike
2928,126,blue,2,bike
1975,110,blue,4,car
2085,109,green,2,car
2587,133,green,2,car
2330,129,blue,4,bike
2895,166,red,2,car
1573,169,green,4,bike
1208,107,red,2,bike
1488,158,blue,4,car
2131,152,red,2,car
1697,144,blue,4,car
1637,123,red,2,bike
1669,173,blue,4,bike
2431,110,green,4,car
2528,172,green,4,car
2724,126,red,4,car
2565,123,green,4,bike
2390,124,green,2,car
2753,175,blue,2,bike
2578,126,green,2,bike
1820,199,blue,4,bike
2367,144,red,2,bike
2854,128,red,2,car
1528,156,blue,4,bike
1491,118,blue,2,car
2092,166,blue,2,car
2297,108,blue,2,bike
1802,173,green,4,car
2652,139,blue,4,bike
2323,175,blue,4,bike
1608,181,red,4,bike
2023,118,red,2,car
1479,140,blue,2,car
1423,175,green,4,car
2047,165,blue,4,car
2166,144,blue,4,car
1573,154,red,2,bike
1431,183,green,4,car
2311,190,blue,2,bike
2113,160,green,2,car
1047,189,blue,4,bike
2413,138,blue,4,bike
2679,138,red,2,car
1483,139,green,2,bike
1173,130,red,2,bike
1204,160,green,4,bike
2362,197,red,4,car
2694,149,blue,4,bike
2205,155,green,2,bike
1199,110,blue,4,bike
2165,103,red,4,bike
1067,125,red,2,bike
1368,141,red,2,car
2008,172,blue,2,bike
1874,142,red,2,bike
1610,131,blue,2,bike
2658,117,blue,4,car
1170,144,blue,2,bike
2639,139,red,2,car
2287,192,green,4,car
2619,139,red,2,bike
2966,111,red,2,bike
1792,172,green,4,car
2080,120,red,2,car
2208,104,red,4,bike
2791,143,green,2,bike
2078,200,green,4,car
1706,199,green,4,bike
2115,128,blue,2,car
1677,179,blue,4,car
2916,183,blue,2,bike
1680,108,blue,2,car
2585,191,blue,4,bike
2377,165,green,2,car
1336,161,red,4,bike
1993,153,red,2,car
1567,153,red,4,bike
2837,113,red,2,car
2237,195,blue,4,car
1910,192,red,4,bike
2386,139,green,4,car
1838,140,blue,4,car
2207,107,blue,2,bike
1851,174,red,4,car
1041,183,red,2,bike
2862,121,red,2,bike
1245,168,green,2,car
2214,138,red,2,car
2783,140,green,2,bike
2582,143,green,4,car
2249,193,blue,4,bike
1945,129,red,2,bike
1844,141,blue,4,bike
2384,125,green,2,bike
2794,200,blue,2,bike
1494,141,green,2,car
1891,187,blue,4,bike
2878,111,green,2,car
1211,185,blue,2,bike
1325,165,green,4,car
1762,189,green,2,car
2348,164,blue,2,bike
2281,181,red,4,car
2995,121,green,2,car
1002,128,blue,4,car
2299,120,green,2,car
2248,159,green,2,car
2625,163,red,2,car
1073,118,blue,4,bike
1105,199,green,4,bike
1904,199,green,2,car
1772,183,red,2,bike
2304,140,green,2,car
1046,147,blue,2,bike
1327,163,blue,4,car
1285,177,green,4,car
2431,195,blue,2,car
2764,165,blue,2,bike
2010,161,green,2,car
2936,200,blue,2,car
2924,136,red,4,car
1045,149,red,2,bike
1003,199,green,4,car
2194,165,green,2,bike
2244,178,blue,2,bike
1509,102,blue,2,car
2001,147,red,2,bike
1954,177,green,2,bike
2042,168,blue,4,bike
2469,197,blue,4,bike
1078,167,green,4,car
1466,161,blue,2,car
1488,115,green,4,car
2920,125,green,4,car
1171,164,red,4,car
2091,171,red,2,car
1323,148,blue,2,car
1761,190,green,4,car
2197,142,red,2,bike
1774,119,green,4,bike
1121,168,blue,4,car
1877,153,red,2,car
2436,105,green,4,bike
2538,171,red,2,car
2836,134,red,2,car
1796,153,red,2,car
1495,169,red,4,car
1444,165,green,4,bike
1746,143,green,4,bike
2323,173,green,2,car
2039,178,red,4,car
1411,166,green,4,bike
1421,173,blue,4,bike
1405,148,red,4,car
2988,196,red,4,car
1543,153,green,2,car
2828,170,red,4,car
2442,193,blue,2,car
1423,168,blue,4,bike
1179,120,blue,2,bike
2121,121,blue,2,bike
1348,136,blue,2,car
2744,125,blue,4,bike
2505,153,red,2,bike
2052,128,red,2,car
2157,136,green,4,bike
1163,179,blue,4,car
1919,116,blue,4,car
3000,121,red,4,bike
2500,101,blue,4,car
2106,198,blue,4,car
2633,126,green,2,bike
1110,135,red,2,bike
1102,179,blue,2,bike
2797,109,green,2,bike
2469,148,red,4,bike
1166,117,green,4,car
2715,130,green,4,car
1992,172,red,4,bike
2779,116,blue,4,bike
1910,156,green,4,car
2027,172,green,4,car
2419,102,red,4,bike
1467,187,red,2,car
1244,165,red,2,car
2419,154,blue,2,car
2824,188,blue,2,bike
2905,153,red,2,car
1640,115,red,2,car
1506,160,red,2,bike
2111,184,blue,2,bike
2498,166,blue,4,bike
1615,123,red,4,car
2039,148,green,4,bike
1078,177,blue,2,car
2399,128,green,4,car
2697,119,red,2,car
1689,131,blue,4,car
2474,134,blue,2,car
1132,137,green,2,bike
2023,144,red,2,car
1146,122,red,2,car
2428,124,red,2,bike
1103,195,red,4,car
1229,140,blue,2,car
1370,200,red,4,car
2075,181,red,2,car
2974,184,blue,2,bike
2125,143,blue,2,car
2911,173,blue,4,bike
2308,191,green,2,car
1584,137,green,2,car
2049,147,red,2,bike
2267,194,green,2,car
2610,171,blue,2,bike
2051,100,red,2,car
1252,198,blue,2,bike
2382,152,blue,2,car
1689,193,green,2,bike
1800,105,blue,2,car
2615,146,green,2,car
1641,192,blue,4,car
1356,142,red,2,car
2502,174,blue,4,car
1195,156,blue,2,bike
2624,111,green,2,bike
2342,113,green,4,car
1071,198,green,2,bike
1994,165,blue,4,bike
2644,192,red,4,car
2456,171,blue,4,bike
2959,151,blue,4,car
2868,153,blue,4,bike
1950,135,blue,4,bike
2744,106,green,2,bike
1726,129,blue,2,bike
1485,151,blue,2,car
1429,130,blue,4,car
1939,141,green,2,bike
1871,162,green,2,bike
1872,112,green,2,bike
2528,183,green,4,bike
2948,163,green,2,car
2705,163,blue,2,bike
1143,199,green,4,car
1610,158,red,4,car
1225,162,green,4,car
1108,144,red,4,bike
2948,158,blue,4,car
2129,132,blue,2,bike
2577,155,red,4,car
2417,142,blue,4,bike
2899,152,red,4,car
1817,200,blue,2,bike
2602,166,red,2,bike
1254,100,green,2,car
2005,120,red,4,bike
2967,147,red,2,bike
2287,155,blue,4,car
1023,167,blue,4,bike
1176,186,red,4,car
1957,197,red,4,bike
2274,109,blue,2,car
1685,182,red,4,car
1292,121,green,2,bike
1392,150,green,2,car
1109,166,green,2,bike
1869,145,blue,4,car
1948,188,red,4,car
2969,101,red,2,bike
1533,138,green,2,car
1990,129,blue,2,car
2849,179,green,4,car
2630,115,green,4,bike
1481,176,red,2,car
1669,177,blue,4,bike
1974,127,red,2,car
2331,151,blue,2,car
2132,133,red,4,bike
1227,175,red,2,car
1015,135,blue,2,car
2016,150,blue,4,bike
1301,153,red,2,bike
1738,151,blue,2,car
1343,117,green,4,car
2144,196,blue,4,car
1557,156,green,4,bike
2813,155,blue,4,bike
1803,156,red,4,bike
1224,113,red,4,bike
2682,182,red,4,bike
1235,178,blue,2,bike
2838,178,red,4,bike
2352,165,green,4,bike
2056,173,blue,4,bike
1309,127,red,4,bike
2319,197,green,2,bike
2309,121,green,4,bike
2976,176,green,2,car
2179,147,blue,4,bike
1305,105,green,2,bike
1476,129,green,4,bike
1862,154,red,4,bike
2546,132,green,2,car
2302,191,blue,4,bike
2824,164,blue,4,bike
1583,114,red,4,bike
2263,186,green,4,bike
2950,143,blue,2,bike
1648,186,red,4,bike
1872,156,blue,4,car
1901,103,blue,4,bike
2653,139,red,2,car
2313,135,blue,4,bike
1953,190,blue,4,bike
1218,185,green,4,bike
2850,126,green,4,car
1056,169,green,2,bike
1843,199,green,4,bike
2676,129,blue,4,bike
2196,128,green,2,car
2166,166,green,2,car
1158,129,red,2,bike
1935,195,red,2,car
1753,165,red,4,car
2189,198,green,4,bike
1746,122,green,2,bike
2281,168,red,2,car
1975,148,red,4,bike
2871,105,green,2,car
2514,199,red,2,car
2681,128,red,2,car
2425,191,green,2,bike
2877,181,blue,4,car
2024,200,blue,2,bike
2828,126,green,4,bike
2020,160,red,4,bike
1470,124,red,2,car
1444,141,blue,2,car
2901,144,green,4,bike
1939,116,red,2,bike
1602,107,green,2,bike
1328,147,red,4,bike
2064,111,green,4,car
1855,154,blue,4,bike
1547,184,green,2,car
1094,188,blue,2,car
2468,125,green,2,car
2730,131,green,4,bike
1313,160,red,2,car
2311,136,red,2,car
1771,154,red,2,car
2348,160,blue,4,bike
1128,117,red,4,bike
2230,200,green,4,car
2690,190,green,2,car
2170,143,blue,4,bike
1072,140,red,4,bike
1223,109,green,2,car
2882,116,blue,4,car
2073,136,red,4,bike
1776,148,blue,2,bike
1491,183,red,2,bike
1227,179,blue,4,bike
2100,131,red,4,bike
2410,163,red,4,car
2768,155,red,2,car
2647,196,blue,4,bike
2362,161,red,2,bike
1799,181,green,4,bike
2000,193,red,4,car
2372,184,red,4,bike
2564,146,red,4,car
2870,184,blue,2,car
1721,122,blue,2,bike
1615,178,blue,2,bike
2807,130,green,4,bike
2986,108,red,4,bike
2482,160,green,2,car
2082,161,red,2,bike
2058,141,red,2,bike
2306,165,red,4,car
2143,126,blue,4,bike
2858,197,red,4,bike
2921,151,green,2,car
1122,172,red,4,car
2511,148,blue,2,bike
1437,118,green,4,car
1778,114,blue,2,bike
1101,117,blue,2,car
2273,179,red,4,car
2599,137,red,4,car
2154,162,blue,4,car
1849,133,red,4,bike
1861,101,blue,2,car
2678,154,red,4,bike
1114,148,red,4,bike
2234,182,blue,2,bike
1284,142,red,4,car
2713,120,green,2,car
1471,150,blue,4,car
1673,121,blue,2,car
1226,191,red,4,bike
2726,189,red,2,bike
2582,105,red,2,bike
1861,175,blue,2,car
1627,122,red,2,car
1179,132,red,4,car
2043,153,green,2,car
1302,125,blue,2,bike
2578,133,blue,4,bike
2816,184,red,4,bike
2866,186,green,4,car
1941,160,red,4,car
2064,149,red,4,bike
1524,117,green,4,car
1353,158,green,4,car
1473,199,green,4,car
2749,109,blue,2,car
2917,124,blue,4,car
1466,156,red,4,bike
2688,142,blue,2,car
1905,189,red,2,car
2151,104,blue,2,car
1221,197,blue,2,bike
1408,133,blue,2,car
2560,149,red,4,car
2097,144,blue,4,car
1774,187,blue,4,bike
1845,136,blue,4,car
1490,179,green,4,car
2708,134,green,4,car
2866,102,red,2,car
1752,135,red,2,bike
1108,146,blue,2,bike
2635,158,blue,4,bike
2267,186,red,4,bike
2855,138,green,2,bike
2983,114,blue,2,car
1150,124,green,2,car
2309,199,blue,4,car
2575,131,green,2,bike
2295,118,blue,2,car
2079,112,green,4,car
1385,161,blue,2,car
1142,189,green,4,car
2946,144,blue,2,bike
1808,190,red,4,car
2460,141,blue,4,car
1833,144,blue,4,bike
2932,155,red,4,car
2578,142,red,4,bike
1147,148,red,4,car
1100,115,green,4,car
2564,102,red,4,bike
2750,193,red,4,car
2498,139,blue,4,car
2715,130,red,2,car
1933,199,red,2,bike
1161,159,red,2,bike
1010,143,green,4,car
2561,101,green,2,bike
2541,132,red,4,bike
2571,157,blue,2,car
2396,140,red,2,bike
1816,100,green,4,bike
2199,145,red,2,bike
2019,157,red,2,car
2339,154,blue,2,car
1767,104,green,2,car
2101,152,green,2,car
2143,157,green,2,car
2797,198,blue,2,car
2687,101,green,4,car
2562,158,green,4,bike
1011,104,green,4,car
2470,189,green,4,car
2595,153,red,4,bike
2908,179,green,2,bike
2596,192,green,4,car
1005,145,blue,4,bike
1255,169,green,4,bike
2769,176,red,2,car
2477,126,green,4,bike
1870,129,red,2,car
2232,186,green,4,bike
1699,117,blue,4,bike
2945,196,green,4,car
1602,153,red,2,bike
1204,176,blue,2,bike
1349,101,blue,2,car
1669,130,red,2,car
1522,184,green,4,bike
1388,142,green,2,car
1124,122,red,4,bike
1284,171,green,4,bike
1903,200,blue,2,car
2062,111,green,4,car
2353,134,green,4,bike
2382,138,green,4,bike
2618,163,red,4,car
1913,153,green,2,car
2539,106,red,4,bike
1287,167,blue,2,bike
1308,123,green,4,bike
2982,170,green,4,bike
2977,130,blue,2,car
1944,175,red,2,bike
1149,197,red,4,car
1753,101,green,4,car
1108,145,green,4,car
1353,178,red,2,bike
1994,111,blue,2,bike
2582,185,red,2,car
1862,187,green,2,car
1696,194,red,4,bike
1801,144,red,2,car
2253,168,red,2,car
1876,137,green,4,bike
1988,159,green,4,bike
1384,140,blue,4,bike
1345,129,red,4,car
2207,194,red,2,car
1172,197,blue,2,bike
1360,144,red,4,car
2330,107,red,2,car
1138,179,red,2,bike
1453,121,blue,4,bike
2130,155,red,4,bike
1844,101,blue,4,car
2252,137,green,2,bike
2213,145,blue,2,car
1618,193,blue,2,car
2044,120,green,2,car
2345,111,red,4,car
1926,146,red,4,car
1319,197,blue,4,bike
1733,104,red,2,bike
2352,152,red,4,bike
2802,126,blue,2,car
2028,123,red,4,car
1210,145,green,4,bike
1209,187,green,4,car
1906,112,blue,2,bike
2147,132,red,2,bike
1022,139,red,2,car
1133,192,red,4,bike
1119,163,blue,4,bike
2645,178,blue,4,car
1126,156,blue,2,car
2069,156,red,2,bike
1317,153,green,2,car
2579,146,red,4,car
1388,131,green,4,car
1247,122,blue,2,car
1211,123,blue,4,car
1147,125,blue,2,bike
1099,106,red,2,car
2216,101,green,2,car
1265,175,blue,4,bike
2196,127,green,2,car
1445,186,red,4,bike
1855,148,red,2,bike
1926,157,green,2,car
1821,198,blue,4,car
1334,181,red,4,bike
1246,133,blue,4,car
2077,115,red,2,car
2589,155,green,2,bike
2144,110,green,2,bike
2262,198,blue,4,car
2316,200,green,2,car
1717,172,green,4,bike
2987,118,red,4,car
1333,141,red,2,bike
2539,147,green,4,car
2715,177,red,2,bike
2276,178,green,4,bike
1913,171,green,2,bike
2944,159,red,4,bike
2841,159,red,2,bike
2940,194,green,2,car
2546,148,red,2,bike
1729,192,red,2,car
1779,160,green,2,bike
1645,181,red,4,car
2911,129,green,4,bike
2547,178,blue,2,car
2938,118,green,2,car
2330,144,blue,2,car
2748,200,red,4,car
1238,155,red,4,car
1177,182,blue,2,bike
1051,169,blue,2,car
1694,129,green,4,car
1045,107,blue,4,car
1966,147,red,4,bike
2647,151,red,2,car
1690,122,blue,2,car
2948,118,green,4,car
2242,158,blue,4,bike
1514,120,red,2,bike
1145,167,red,2,bike
2641,151,red,2,bike
3000,181,blue,2,car
1217,116,blue,2,bike
2464,107,blue,2,car
2937,175,red,2,bike
2879,163,red,2,car
2612,112,blue,4,car
1046,171,green,2,car
2572,166,red,4,car
1811,181,green,4,bike
2886,103,blue,2,car
2752,142,green,2,car
1469,161,blue,4,car
1820,103,blue,4,bike
2218,125,green,4,bike
2471,194,green,4,car
1404,180,blue,4,car
2774,132,red,2,car
2526,188,green,2,bike
2368,174,green,2,bike
1951,193,blue,2,car
1010,128,green,2,car
2689,188,red,4,car
1932,173,green,4,car
2359,194,blue,4,car
1056,110,red,2,bike
1752,158,red,2,car
1515,166,green,4,bike
1442,113,green,2,car
1935,138,red,4,bike
2576,172,green,2,bike
2296,151,green,2,bike
2616,169,red,2,bike
1530,149,blue,2,bike
2879,165,red,4,bike
1385,150,green,2,car
2800,116,blue,4,bike
2314,177,blue,2,car
2477,195,blue,2,bike
1744,164,blue,4,car
2701,174,red,2,bike
2520,130,blue,4,bike
1009,134,green,4,car
2630,129,blue,2,car
2798,105,red,4,bike
1154,106,red,2,bike
2659,137,blue,2,bike
2967,175,green,2,car
1817,160,red,4,car
2259,138,red,4,car
1288,122,blue,2,bike
1852,184,green,4,car
2751,136,blue,4,car
1159,196,red,4,car
1303,163,blue,2,bike
1161,100,green,2,car
2577,129,red,4,bike
1218,175,green,4,car
1160,170,red,2,bike
1174,153,red,4,car
2518,134,blue,2,bike
1540,142,red,4,car
1971,140,blue,2,car
1314,194,blue,2,car
1633,139,red,2,bike
1039,197,green,2,car
1819,163,green,4,car
1610,135,green,2,bike
1809,163,green,2,bike
1843,189,green,4,bike
2952,107,red,2,car
1512,161,red,2,bike
1642,114,red,4,bike
1380,125,red,4,car
2446,160,blue,4,bike
2568,156,green,2,car
1718,161,red,2,car
1410,100,green,2,bike
